,model,throughput,response_length,latency,energy,gpu,task,parameters_count,energy_per_token,dtype,optimization,quantization,cuda-fp16
57,openaccess-ai-collective/manticore-13b-chat-pyg,26.39233382258096,227.33378106111485,8.568163497332025,1738.897591336476,A100,instruct-concise,13,0.0021247484929427,float16,None,None,False
58,OpenAssistant/oasst-sft-1-pythia-12b,24.824754847354107,236.00940228341167,9.223680323395048,1834.861354264594,A100,instruct-concise,12,0.0021595906967549,float16,None,None,False
59,project-baize/baize-v2-7B,31.45166088245228,241.78945601074545,7.49180176517012,1276.267568838159,A100,instruct-concise,7,0.0014662292350165,float16,None,None,False
60,StabilityAI/stablelm-tuned-alpha-7b,44.77280320960753,224.9724647414372,4.834958684556046,1105.6361689053056,A100,instruct-concise,7,0.0013651499901653,float16,None,None,False
61,togethercomputer/RedPajama-INCITE-7B-Chat,26.907685411875395,276.31497649429144,9.836634313501508,1464.5413824714483,A100,instruct-concise,7,0.0014722946104765,float16,None,None,False
62,Salesforce/xgen-7b-8k-inst,44.66394376983288,274.2733378106112,6.187109905653467,1280.4384345198118,A100,instruct-concise,7,0.001296798827627,float16,None,None,False
63,BAIR/koala-13b,20.72717570901688,254.08025520483545,11.89253735148136,2191.190301544663,A100,instruct,13,0.002395557939599,float16,None,None,False
64,BAIR/koala-7b,25.954660733201525,259.2263263935527,9.768064146371245,1447.61525218268,A100,instruct,7,0.0015512133872469,float16,None,None,False
65,RWKV/rwkv-raven-7b,61.48629627223311,244.58898589657488,3.686417284762874,892.832628945603,A100,instruct,7,0.0010139829587456,float16,None,None,False
66,FreedomIntelligence/phoenix-inst-chat-7b,55.22014703563219,221.38582941571525,3.8385676472189294,887.4773411685698,A100,instruct,7,0.001113537773888,float16,None,None,False
67,Neutralzz/BiLLa-7B-SFT,32.311906190353724,146.99966420416388,4.4437706789731255,750.0805171255877,A100,instruct,7,0.0014173889466316,float16,None,None,False
68,OpenAssistant/oasst-sft-1-pythia-12b,24.935530057384018,250.45466756212224,9.786432366627167,2029.4657938213643,A100,instruct,12,0.002250868405732,float16,None,None,False
69,StabilityAI/stablelm-tuned-alpha-7b,45.08986296277073,232.79348556077903,4.994290238837428,1132.5013462055056,A100,instruct,7,0.001351342399129,float16,None,None,False
70,camel-ai/CAMEL-13B-Combined-Data,26.545864806820514,244.7578912021491,9.198450972152804,2025.3281155137663,A100,instruct,13,0.0022985618172924,float16,None,None,False
71,databricks/dolly-v2-12b,22.230280077272955,161.52820685023505,8.256380503504923,1374.5864308260586,A100,instruct,12,0.0023638568864469,float16,None,None,False
72,h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,32.73570790682367,219.56077904633983,6.708469191383511,1011.168331766286,A100,instruct,7,0.0012792817249843,float16,None,None,False
73,lmsys/fastchat-t5-3b-v1.0,33.043489972767865,355.22464741437204,15.602670499951651,1307.8302488247157,A100,instruct,3,0.0010226941820433,float16,None,None,False
74,lmsys/vicuna-13B,21.00930585347828,266.4140362659503,12.326653083850998,2284.892455003353,A100,instruct,13,0.0023823532630182,float16,None,None,False
75,lmsys/vicuna-7B,26.45612216704581,269.8492276695769,9.998248218763614,1393.5497108797765,A100,instruct,7,0.0014344941627368,float16,None,None,False
76,metaai/llama-13B,22.701925773082262,99.55339153794492,3.953801921461699,853.2385591000668,A100,instruct,13,0.0023807396935421,float16,None,None,False
77,metaai/llama-7B,29.32171747886574,107.48018804566824,3.322338972945185,561.9730688381476,A100,instruct,7,0.0014523944651686,float16,None,None,False
78,nomic-ai/gpt4all-13b-snoozy,25.87563696100208,219.97582269979853,8.453523028629553,1718.9753918737365,A100,instruct,13,0.0021706620234397,float16,None,None,False
79,openaccess-ai-collective/manticore-13b-chat-pyg,26.222449633250086,275.88179986568167,10.469822985415592,2115.522391537931,A100,instruct,13,0.002130061167669,float16,None,None,False
80,project-baize/baize-v2-7B,32.41073358811793,300.9086635325722,9.142081563219635,1529.693656480853,A100,instruct,7,0.001412105918087,float16,None,None,False
81,tatsu-lab/alpaca-7B,25.79378618278183,127.34217595701811,4.787391331217622,727.924358965749,A100,instruct,7,0.0015878573560111,float16,None,None,False
82,togethercomputer/RedPajama-INCITE-7B-Chat,27.400950213545173,283.2615849563465,9.932342660383254,1629.655866689063,A100,instruct,7,0.001598106517907,float16,None,None,False
83,Salesforce/xgen-7b-8k-inst,48.57875587391399,273.65950302216254,5.67808680985901,1209.0622276695774,A100,instruct,7,0.0012272572853788,float16,None,None,False
84,lmsys/vicuna-7B,29.82902663120629,271.9100067159167,9.132098360456242,2143.52561215591,A40,chat-concise,7,0.0021897825252768,float16,None,None,False
85,StabilityAI/stablelm-tuned-alpha-7b,26.57393014131587,255.54365345869712,9.397491535841588,2439.293790463411,A40,chat-concise,7,0.0026515297847988,float16,None,None,False
86,databricks/dolly-v2-12b,15.273711386107992,141.4445936870383,8.891394107289802,2095.3922259908463,A40,chat-concise,12,0.004115062873286,float16,None,None,False
87,tatsu-lab/alpaca-7B,29.852723929321897,121.2928139691068,4.0361613936664735,1080.58840899923,A40,chat-concise,7,0.0024747009911129,float16,None,None,False
88,camel-ai/CAMEL-13B-Combined-Data,17.460563027552272,283.4543317662861,16.28615281731328,4262.537929482914,A40,chat-concise,13,0.0041771748781088,float16,None,None,False
89,BAIR/koala-7b,29.88879673761688,251.45399597045,8.385359924898546,1940.5972622565405,A40,chat-concise,7,0.0021437511581029,float16,None,None,False
90,h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,29.57083939186151,212.1212222968435,7.140702722639097,1524.9156188717134,A40,chat-concise,7,0.0019969132146336,float16,None,None,False
91,lmsys/vicuna-13B,17.282398545945153,269.62491605104094,15.6926107484118,4203.671348891897,A40,chat-concise,13,0.0043307810824955,float16,None,None,False
92,togethercomputer/RedPajama-INCITE-7B-Chat,14.451529449594792,275.07991940899933,18.294811550193185,2937.839604096736,A40,chat-concise,7,0.0029666525948052,float16,None,None,False
93,metaai/llama-13B,15.493654667854246,81.26796507723304,4.881042191492302,1264.815973472223,A40,chat-concise,13,0.0043232012770967,float16,None,None,False
94,BAIR/koala-13b,17.393931641363825,252.56816655473472,14.499323956849762,3747.8785020146615,A40,chat-concise,13,0.0041219658671637,float16,None,None,False
95,nomic-ai/gpt4all-13b-snoozy,17.45953616124214,217.35325721961047,12.440528350608275,3263.628521155058,A40,chat-concise,13,0.0041709219806292,float16,None,None,False
96,RWKV/rwkv-raven-7b,32.86455306586691,235.1927468099396,6.718876629108356,1661.2857568838062,A40,chat-concise,7,0.0019620854471926,float16,None,None,False
97,lmsys/fastchat-t5-3b-v1.0,21.09615171109894,313.09905977165886,18.36677833935964,1807.6800728676933,A40,chat-concise,3,0.0016037523521806,float16,None,None,False
98,project-baize/baize-v2-7B,28.92598212176896,321.0601074546676,10.940218308832325,2644.916052719705,A40,chat-concise,7,0.002288353135361,float16,None,None,False
99,OpenAssistant/oasst-sft-1-pythia-12b,16.01484723680571,249.1007387508395,15.153340834740217,3829.107141705864,A40,chat-concise,12,0.0042699225944888,float16,None,None,False
100,metaai/llama-7B,25.80475014752762,63.46373404969778,2.2525196486312047,539.0479066487654,A40,chat-concise,7,0.0023593873235917,float16,None,None,False
101,Neutralzz/BiLLa-7B-SFT,29.38230002194125,141.6155137676293,4.84122748247456,1131.9990564138398,A40,chat-concise,7,0.0022204077362112,float16,None,None,False
102,openaccess-ai-collective/manticore-13b-chat-pyg,17.220798012743607,268.91269308260576,15.69203478635506,4051.8244570182064,A40,chat-concise,13,0.004185398542234,float16,None,None,False
103,FreedomIntelligence/phoenix-inst-chat-7b,32.33242374435414,229.95869711215585,6.910495058340042,2049.7076356614534,A40,chat-concise,7,0.0024759369368425,float16,None,None,False
104,metaai/Llama-2-13b-chat-hf,16.934647828854768,358.7941571524513,20.990738735323337,3942.400414707617,A40,chat-concise,13,0.0030521991634394,float16,None,None,False
105,metaai/Llama-2-7b-chat-hf,31.733044836542074,402.6699126930826,12.569092892522695,2398.9215396235386,A40,chat-concise,7,0.0016548718276048,float16,None,None,False
106,Salesforce/xgen-7b-8k-inst,30.93318284190912,271.8891873740766,8.863184430360635,2114.634217595678,A40,chat-concise,7,0.0021604330773493,float16,None,None,False
107,lmsys/vicuna-7B,30.071255281840543,284.27266621893887,9.474226236086707,2239.068904633984,A40,chat,7,0.0021879120243714,float16,None,None,False
108,lmsys/vicuna-13B,17.50774908972375,281.298522498321,16.096842177613397,4265.287245130957,A40,chat,13,0.0042119027217551,float16,None,None,False
109,tatsu-lab/alpaca-7B,30.09713731797294,125.20013431833443,4.129986896187982,916.045386501007,A40,chat,7,0.0020324023867167,float16,None,None,False
110,metaai/llama-7B,25.768609507174105,64.59032907991941,2.284814629996714,525.7081235728675,A40,chat,7,0.0022608653091875,float16,None,None,False
111,metaai/llama-13B,15.699146010424393,80.32236400268637,4.757332595030835,1293.689832437891,A40,chat,13,0.0044739505771553,float16,None,None,False
112,camel-ai/CAMEL-13B-Combined-Data,17.40620018812374,292.3438549361988,16.834190191676036,4466.796722968406,A40,chat,13,0.0042442378950021,float16,None,None,False
113,RWKV/rwkv-raven-7b,33.10830960148045,243.21793149764943,6.948106877841656,1833.724161517768,A40,chat,7,0.0020942856454181,float16,None,None,False
114,databricks/dolly-v2-12b,15.597444626791148,148.3270651443922,9.168758730287117,2362.087664204047,A40,chat,12,0.00442357206785,float16,None,None,False
115,FreedomIntelligence/phoenix-inst-chat-7b,32.663340053939855,243.14909335124244,7.271332307256473,2149.2483156478947,A40,chat,7,0.0024553388737127,float16,None,None,False
116,h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,28.851651162429675,216.66286098052385,7.544740398256815,1636.1981326393268,A40,chat,7,0.0020977267595924,float16,None,None,False
117,lmsys/fastchat-t5-3b-v1.0,21.69489319491889,312.84116856950976,17.951570049172194,1787.5060366017656,A40,chat,3,0.0015871614879909,float16,None,None,False
118,Neutralzz/BiLLa-7B-SFT,29.49201862368961,159.29986568166555,5.443799112468728,1218.644757555166,A40,chat,7,0.0021250013689947,float16,None,None,False
119,nomic-ai/gpt4all-13b-snoozy,17.46230398293782,250.1742780389523,14.322901371942146,4093.901904969787,A40,chat,13,0.0045456110936619,float16,None,None,False
120,openaccess-ai-collective/manticore-13b-chat-pyg,17.485883513135143,289.58697112155807,16.594830177599892,4316.488665547325,A40,chat,13,0.0041404646924374,float16,None,None,False
121,OpenAssistant/oasst-sft-1-pythia-12b,16.056643548610985,254.2625923438549,15.462307354021265,3891.882398925786,A40,chat,12,0.0042518186972782,float16,None,None,False
122,project-baize/baize-v2-7B,29.00436028442001,324.24546675621224,11.011670755046683,2621.350261585316,A40,chat,7,0.0022456839804882,float16,None,None,False
123,BAIR/koala-7b,29.72380693194584,260.7196104768301,8.720630589929986,2017.3295624580248,A40,chat,7,0.0021493178893607,float16,None,None,False
124,BAIR/koala-13b,17.451436035057224,262.5295500335796,15.030911340299886,3827.610280053728,A40,chat,13,0.0040499253423346,float16,None,None,False
125,StabilityAI/stablelm-tuned-alpha-7b,26.413142361637988,255.346877098724,9.454673889303727,2319.91146675621,A40,chat,7,0.0025237036739931,float16,None,None,False
126,togethercomputer/RedPajama-INCITE-7B-Chat,21.410571862447824,279.5094022834117,12.506414288534286,2541.441298522497,A40,chat,7,0.0025256964899536,float16,None,None,False
127,metaai/Llama-2-13b-chat-hf,16.95804416983929,384.7333781061115,22.55271715111622,4337.670243116255,A40,chat,13,0.0031318010586887,float16,None,None,False
128,metaai/Llama-2-7b-chat-hf,31.92299411670057,428.19341840161184,13.367807321468502,2556.7166067830576,A40,chat,7,0.0016585940533388,float16,None,None,False
129,Salesforce/xgen-7b-8k-inst,30.881860177396,272.84116856950976,8.90293158029373,2142.922134654025,A40,chat,7,0.0021816947626925,float16,None,None,False
130,openaccess-ai-collective/manticore-13b-chat-pyg,17.4993855646115,229.5795836131632,13.132503049058466,3501.182491605137,A40,instruct-concise,13,0.0042362246538057,float16,None,None,False
131,lmsys/vicuna-7B,29.046593546528904,212.760241773002,7.3296203452423265,1706.1712568838818,A40,instruct-concise,7,0.0022275612036161,float16,None,None,False
132,RWKV/rwkv-raven-7b,33.07481929862108,242.7417730020148,6.943508281124177,1787.5870651446628,A40,instruct-concise,7,0.0020455974939923,float16,None,None,False
133,tatsu-lab/alpaca-7B,29.475397017987323,117.95399597044997,3.9749026008906014,927.7634805239352,A40,instruct-concise,7,0.0021848524571213,float16,None,None,False
134,metaai/llama-13B,15.786345111463364,102.35762256548018,6.009854743435423,1590.8409496307413,A40,instruct-concise,13,0.004317218910625,float16,None,None,False
135,OpenAssistant/oasst-sft-1-pythia-12b,16.03459728484094,241.3173270651444,14.686811677200872,3673.6327222969167,A40,instruct-concise,12,0.0042286790856749,float16,None,None,False
136,BAIR/koala-7b,29.75360600658546,200.51544660846204,6.658448294727219,1426.3522693082623,A40,instruct-concise,7,0.0019759523288517,float16,None,None,False
137,databricks/dolly-v2-12b,15.330621441395213,149.7411014103425,9.354867176525543,2240.8669214236447,A40,instruct-concise,12,0.0041569283774868,float16,None,None,False
138,togethercomputer/RedPajama-INCITE-7B-Chat,20.849945627496787,275.1017461383479,12.625316554842463,2521.5761004031265,A40,instruct-concise,7,0.0025461045431361,float16,None,None,False
139,BAIR/koala-13b,17.3129078938621,185.4365345869712,10.592529783475095,3058.9324654130387,A40,instruct-concise,13,0.004582179366689,float16,None,None,False
140,metaai/llama-7B,26.263780879593444,96.94089993284084,3.35252434620665,871.9958969106643,A40,instruct-concise,7,0.0024986469348127,float16,None,None,False
141,lmsys/vicuna-13B,17.391771626218006,199.80960376091332,11.55835909586615,3031.3180846202845,A40,instruct-concise,13,0.0042141758225543,float16,None,None,False
142,camel-ai/CAMEL-13B-Combined-Data,17.27426964902266,194.2202820685024,11.174119858559074,2956.610076225849,A40,instruct-concise,13,0.0042286035628335,float16,None,None,False
143,FreedomIntelligence/phoenix-inst-chat-7b,32.63089093979437,197.4449294828744,5.895621189552368,1736.5409079919812,A40,instruct-concise,7,0.0024430734975346,float16,None,None,False
144,StabilityAI/stablelm-tuned-alpha-7b,26.52354797277377,244.16588314304903,8.984752658064695,2305.969679315211,A40,instruct-concise,7,0.0026234096463339,float16,None,None,False
145,h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,29.926231643904146,223.8542646071189,7.510739674653152,1676.2203126259078,A40,instruct-concise,7,0.0020799994778941,float16,None,None,False
146,Neutralzz/BiLLa-7B-SFT,29.118626503392385,104.97817327065144,3.5443721553023035,818.274197783844,A40,instruct-concise,7,0.0021651966422322,float16,None,None,False
147,nomic-ai/gpt4all-13b-snoozy,17.423064750595767,135.3938885157824,7.734149922101941,1871.6546057756864,A40,instruct-concise,13,0.0038399374067708,float16,None,None,False
148,project-baize/baize-v2-7B,28.13796712305154,262.9902619207522,9.250474432119292,2105.324460711873,A40,instruct-concise,7,0.0022237034402968,float16,None,None,False
149,lmsys/fastchat-t5-3b-v1.0,40.20822673632634,281.74110141034254,10.492163513616964,1110.3276249158694,A40,instruct-concise,3,0.0010947083642056,float16,None,None,False
150,metaai/Llama-2-13b-chat-hf,16.753336372767794,223.3901947615849,12.93183804940574,2423.302869711249,A40,instruct-concise,13,0.0030132911014707,float16,None,None,False
151,metaai/Llama-2-7b-chat-hf,30.95799874634315,220.83680322364003,6.815573463441101,1288.2125369376631,A40,instruct-concise,7,0.0016203676678548,float16,None,None,False
152,Salesforce/xgen-7b-8k-inst,30.94642095862988,272.62760241773003,8.882096162332314,2275.1287498320407,A40,instruct-concise,7,0.0023181079343475,float16,None,None,False
153,FreedomIntelligence/phoenix-inst-chat-7b,32.795664087070854,221.2484889187374,6.588933942256567,1863.514234721291,A40,instruct,7,0.0023396446480059,float16,None,None,False
154,tatsu-lab/alpaca-7B,30.107577299286163,126.36030893216925,4.161682809197595,973.6026363331108,A40,instruct,7,0.0021402699870287,float16,None,None,False
155,togethercomputer/RedPajama-INCITE-7B-Chat,17.009700321585225,282.3190060443251,15.98330062659441,2834.287281396827,A40,instruct,7,0.0027886964949381,float16,None,None,False
156,lmsys/vicuna-7B,29.417977025894693,267.841840161182,9.164755312435684,2131.3740241775145,A40,instruct,7,0.0022104400854363,float16,None,None,False
157,RWKV/rwkv-raven-7b,33.80171881884355,264.9563465413029,7.560664676534496,2049.769828408296,A40,instruct,7,0.0021489596883554,float16,None,None,False
158,databricks/dolly-v2-12b,15.67950302952103,155.61316319677636,9.582122375200395,2369.283402619204,A40,instruct,12,0.0042292969629639,float16,None,None,False
159,camel-ai/CAMEL-13B-Combined-Data,17.522554791478672,245.7824042981867,14.081241566503389,3646.911668905305,A40,instruct,13,0.0041216580252479,float16,None,None,False
160,BAIR/koala-7b,29.350583449996343,253.7239758226998,8.64835721658589,1918.897159502941,A40,instruct,7,0.0021008144264745,float16,None,None,False
161,openaccess-ai-collective/manticore-13b-chat-pyg,17.267666593018745,276.03559435863,16.03621509688224,4113.539149429272,A40,instruct,13,0.004139501524741,float16,None,None,False
162,OpenAssistant/oasst-sft-1-pythia-12b,14.438332974888972,253.76796507723304,17.249506058312747,3936.226839825601,A40,instruct,12,0.0043086460659572,float16,None,None,False
163,h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,29.207313503768304,233.479516453996,8.096591130254916,1804.4821860309687,A40,instruct,7,0.0021468480802427,float16,None,None,False
164,project-baize/baize-v2-7B,28.47516339265779,306.76561450638013,10.688193155492014,2415.801835795991,A40,instruct,7,0.0021875204839326,float16,None,None,False
165,StabilityAI/stablelm-tuned-alpha-7b,23.120196395716167,244.85930154466084,10.369934308136855,2445.444213566122,A40,instruct,7,0.0027742056562226,float16,None,None,False
166,lmsys/vicuna-13B,17.595105665816288,263.95567494963063,15.050040050311225,3967.4957498321023,A40,instruct,13,0.004175254625389,float16,None,None,False
167,Neutralzz/BiLLa-7B-SFT,28.937231313361377,142.33848220282067,4.7632941655637016,1177.3565590999483,A40,instruct,7,0.0022976463116479,float16,None,None,False
168,metaai/llama-13B,15.747651109641996,101.69375419744796,5.970782866386873,1693.432888515849,A40,instruct,13,0.0046256333862393,float16,None,None,False
169,lmsys/fastchat-t5-3b-v1.0,31.014371537480105,357.13734049697786,17.964342393854206,1758.7082199462511,A40,instruct,3,0.0013679053005668,float16,None,None,False
170,nomic-ai/gpt4all-13b-snoozy,17.558360268154225,232.6746138347885,13.29095380657582,3411.2449123573792,A40,instruct,13,0.0040725028639489,float16,None,None,False
