model,throughput,response_length,latency,energy,gpu,task,parameters_count,energy_per_token,dtype,optimization,quantization,cuda-fp16
GeneZC/MiniMA-3B,52.2,256,4.9,1253.376,NVIDIA A100-SXM4-80GB,chat,3.0,0.0013599999999999999,float16,None,gptq-4bit+exllama-v1,False
GeneZC/MiniMA-2-3B,50.4,256,5.08,1262.5919999999999,NVIDIA A100-SXM4-80GB,chat,3.0,0.00137,float16,None,gptq-4bit+exllama-v1,False
Locutusque/TinyMistral-248m,85.9,256,2.98,701.3376,NVIDIA A100-SXM4-80GB,chat,0.248,0.000761,float16,None,gptq-4bit+exllama-v1,False
DevaMalla/llama-base-7b,39.1,256,6.54,1815.5520000000004,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019700000000000004,float16,None,gptq-4bit+exllama-v1,False
pszemraj/pythia-31m-simplepile-lite-2048-scratch-2e,198.0,256,1.29,287.5392,NVIDIA A100-SXM4-80GB,chat,0.031,0.000312,float16,None,gptq-4bit+exllama-v1,False
pszemraj/pythia-31m-goodwiki-deduped-2048-scratch,200.0,256,1.28,289.38239999999996,NVIDIA A100-SXM4-80GB,chat,0.031,0.000314,float16,None,gptq-4bit+exllama-v1,False
pszemraj/pythia-31m-simplewiki-2048,200.0,256,1.28,287.5392,NVIDIA A100-SXM4-80GB,chat,0.031,0.000312,float16,None,gptq-4bit+exllama-v1,False
pszemraj/pythia-31m-KI_v1-2048-scratch,203.0,256,1.26,281.08799999999997,NVIDIA A100-SXM4-80GB,chat,0.031,0.000305,float16,None,gptq-4bit+exllama-v1,False
pszemraj/pythia-31m-simplewiki-scratch-bf16,202.0,256,1.27,284.77439999999996,NVIDIA A100-SXM4-80GB,chat,0.031,0.000309,float16,None,gptq-4bit+exllama-v1,False
PY007/TinyLlama-1.1B-intermediate-step-240k-503b,48.1,256,5.32,1179.6480000000001,NVIDIA A100-SXM4-80GB,chat,1.1,0.00128,float16,None,gptq-4bit+exllama-v1,False
PY007/TinyLlama-1.1B-step-50K-105b,48.9,256,5.24,1188.864,NVIDIA A100-SXM4-80GB,chat,1.1,0.00129,float16,None,gptq-4bit+exllama-v1,False
PY007/TinyLlama-1.1B-intermediate-step-480k-1T,50.4,256,5.08,1207.296,NVIDIA A100-SXM4-80GB,chat,1.1,0.00131,float16,None,gptq-4bit+exllama-v1,False
NYTK/PULI-GPTrio,41.0,256,6.25,1723.392,NVIDIA A100-SXM4-80GB,chat,7.67,0.0018700000000000001,float16,None,gptq-4bit+exllama-v1,False
robowaifudev/megatron-gpt2-345m,64.8,256,3.95,885.6575999999999,NVIDIA A100-SXM4-80GB,chat,0.345,0.0009609999999999999,float16,None,gptq-4bit+exllama-v1,False
meta-llama/Llama-2-7b-hf,40.1,256,6.38,1751.04,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019,float16,None,gptq-4bit+exllama-v1,False
meta-llama/Llama-2-13b-hf,31.8,256,8.06,2451.456,NVIDIA A100-SXM4-80GB,chat,13.0,0.00266,float16,None,gptq-4bit+exllama-v1,False
meta-llama/Llama-2-70b-hf,13.1,256,19.6,7483.392000000001,NVIDIA A100-SXM4-80GB,chat,70.0,0.00812,float16,None,gptq-4bit+exllama-v1,False
winglian/Llama-2-3b-hf,76.2,256,3.36,921.6,NVIDIA A100-SXM4-80GB,chat,3.0,0.001,float16,None,gptq-4bit+exllama-v1,False
mistralai/Mistral-7B-v0.1,31.7,256,8.08,2156.544,NVIDIA A100-SXM4-80GB,chat,7.0,0.00234,float16,None,gptq-4bit+exllama-v1,False
rinna/bilingual-gpt-neox-4b,37.2,256,6.88,1751.04,NVIDIA A100-SXM4-80GB,chat,4.0,0.0019,float16,None,gptq-4bit+exllama-v1,False
rinna/bilingual-gpt-neox-4b-8k,37.0,256,6.92,1741.824,NVIDIA A100-SXM4-80GB,chat,4.0,0.00189,float16,None,gptq-4bit+exllama-v1,False
matsuo-lab/weblab-10b,36.4,256,7.04,1999.872,NVIDIA A100-SXM4-80GB,chat,10.0,0.00217,float16,None,gptq-4bit+exllama-v1,False
ai-forever/mGPT,66.8,256,3.83,917.9136000000001,NVIDIA A100-SXM4-80GB,chat,1.3,0.0009960000000000001,float16,None,gptq-4bit+exllama-v1,False
augmxnt/shisa-base-7b-v1,32.4,256,7.91,2128.896,NVIDIA A100-SXM4-80GB,chat,7.0,0.00231,float16,None,gptq-4bit+exllama-v1,False
AI-Sweden-Models/gpt-sw3-126m,143.0,256,1.79,406.4256,NVIDIA A100-SXM4-80GB,chat,0.126,0.000441,float16,None,gptq-4bit+exllama-v1,False
AI-Sweden-Models/gpt-sw3-6.7b-v2,57.8,256,4.43,1336.3200000000002,NVIDIA A100-SXM4-80GB,chat,6.7,0.0014500000000000001,float16,None,gptq-4bit+exllama-v1,False
AI-Sweden-Models/gpt-sw3-40b,23.1,256,11.1,4165.632,NVIDIA A100-SXM4-80GB,chat,40.0,0.00452,float16,None,gptq-4bit+exllama-v1,False
AI-Sweden-Models/gpt-sw3-20b,34.7,256,7.37,2515.9680000000003,NVIDIA A100-SXM4-80GB,chat,20.0,0.0027300000000000002,float16,None,gptq-4bit+exllama-v1,False
AI-Sweden-Models/gpt-sw3-6.7b,54.6,256,4.69,1345.5359999999998,NVIDIA A100-SXM4-80GB,chat,6.7,0.00146,float16,None,gptq-4bit+exllama-v1,False
AI-Sweden-Models/gpt-sw3-1.3b,75.5,256,3.39,866.304,NVIDIA A100-SXM4-80GB,chat,1.3,0.00094,float16,None,gptq-4bit+exllama-v1,False
AI-Sweden-Models/gpt-sw3-356m,75.5,256,3.39,789.8112,NVIDIA A100-SXM4-80GB,chat,0.356,0.000857,float16,None,gptq-4bit+exllama-v1,False
uukuguy/Orca-2-7b-f16,40.1,256,6.39,1760.256,NVIDIA A100-SXM4-80GB,chat,7.0,0.00191,float16,None,gptq-4bit+exllama-v1,False
01-ai/Yi-34B-200K,19.1,256,13.4,4635.648,NVIDIA A100-SXM4-80GB,chat,34.0,0.00503,float16,None,gptq-4bit+exllama-v1,False
01-ai/Yi-34B,19.4,256,13.2,4654.08,NVIDIA A100-SXM4-80GB,chat,34.0,0.00505,float16,None,gptq-4bit+exllama-v1,False
01-ai/Yi-6B-200K,36.5,256,7.01,1870.8480000000002,NVIDIA A100-SXM4-80GB,chat,6.0,0.00203,float16,None,gptq-4bit+exllama-v1,False
01-ai/Yi-6B,36.7,256,6.97,1861.632,NVIDIA A100-SXM4-80GB,chat,6.0,0.00202,float16,None,gptq-4bit+exllama-v1,False
scb10x/typhoon-7b,32.0,256,8.0,2128.896,NVIDIA A100-SXM4-80GB,chat,7.0,0.00231,float16,None,gptq-4bit+exllama-v1,False
TheBloke/Llama-2-13B-fp16,31.6,256,8.1,2423.808,NVIDIA A100-SXM4-80GB,chat,13.0,0.00263,float16,None,gptq-4bit+exllama-v1,False
Salesforce/codegen-6B-multi,26.4,256,9.7,2460.6719999999996,NVIDIA A100-SXM4-80GB,chat,6.0,0.0026699999999999996,float16,None,gptq-4bit+exllama-v1,False
Salesforce/codegen-16B-nl,26.2,256,9.76,2930.688,NVIDIA A100-SXM4-80GB,chat,16.0,0.00318,float16,None,gptq-4bit+exllama-v1,False
Salesforce/codegen-6B-nl,27.1,256,9.44,2442.2400000000002,NVIDIA A100-SXM4-80GB,chat,6.0,0.00265,float16,None,gptq-4bit+exllama-v1,False
Writer/palmyra-base,76.4,256,3.35,976.896,NVIDIA A100-SXM4-80GB,chat,5.0,0.00106,float16,None,gptq-4bit+exllama-v1,False
Writer/palmyra-large,34.9,256,7.34,2515.9680000000003,NVIDIA A100-SXM4-80GB,chat,20.0,0.0027300000000000002,float16,None,gptq-4bit+exllama-v1,False
sarvamai/OpenHathi-7B-Hi-v0.1-Base,39.3,256,6.52,1751.04,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019,float16,None,gptq-4bit+exllama-v1,False
deepseek-ai/deepseek-llm-67b-base,12.0,256,21.3,7833.6,NVIDIA A100-SXM4-80GB,chat,67.0,0.0085,float16,None,gptq-4bit+exllama-v1,False
gpt2,125.0,256,2.05,462.64320000000004,NVIDIA A100-SXM4-80GB,chat,0.124,0.0005020000000000001,float16,None,gptq-4bit+exllama-v1,False
cyberagent/open-calm-large,54.5,256,4.7,1105.9199999999998,NVIDIA A100-SXM4-80GB,chat,0.4,0.0012,float16,None,gptq-4bit+exllama-v1,False
cyberagent/calm2-7b-chat,39.3,256,6.51,1769.4719999999998,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019199999999999998,float16,None,gptq-4bit+exllama-v1,False
Kunhao/pile-7b-250b-tokens,37.1,256,6.9,1870.8480000000002,NVIDIA A100-SXM4-80GB,chat,7.0,0.00203,float16,None,gptq-4bit+exllama-v1,False
cerebras/Cerebras-GPT-111M,166.0,256,1.54,344.6784,NVIDIA A100-SXM4-80GB,chat,0.111,0.000374,float16,None,gptq-4bit+exllama-v1,False
cerebras/Cerebras-GPT-13B,44.6,256,5.74,1870.8480000000002,NVIDIA A100-SXM4-80GB,chat,13.0,0.00203,float16,None,gptq-4bit+exllama-v1,False
cerebras/Cerebras-GPT-6.7B,55.3,256,4.63,1317.8880000000001,NVIDIA A100-SXM4-80GB,chat,6.7,0.00143,float16,None,gptq-4bit+exllama-v1,False
cerebras/Cerebras-GPT-2.7B,57.4,256,4.46,1133.5680000000002,NVIDIA A100-SXM4-80GB,chat,2.7,0.0012300000000000002,float16,None,gptq-4bit+exllama-v1,False
cerebras/Cerebras-GPT-1.3B,77.1,256,3.32,838.656,NVIDIA A100-SXM4-80GB,chat,1.3,0.00091,float16,None,gptq-4bit+exllama-v1,False
itsliupeng/openllama-7b-base,39.6,256,6.47,1751.04,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019,float16,None,gptq-4bit+exllama-v1,False
itsliupeng/openllama-7b-icl,39.0,256,6.57,1797.12,NVIDIA A100-SXM4-80GB,chat,7.0,0.00195,float16,None,gptq-4bit+exllama-v1,False
ethzanalytics/pythia-31m,202.0,256,1.27,289.38239999999996,NVIDIA A100-SXM4-80GB,chat,0.031,0.000314,float16,None,gptq-4bit+exllama-v1,False
tiiuae/falcon-rw-1b,69.9,256,3.66,895.7952,NVIDIA A100-SXM4-80GB,chat,1.0,0.000972,float16,None,gptq-4bit+exllama-v1,False
tiiuae/falcon-40b,15.1,256,16.9,5686.272,NVIDIA A100-SXM4-80GB,chat,40.0,0.00617,float16,None,gptq-4bit+exllama-v1,False
facebook/xglm-7.5B,51.9,256,4.93,1456.128,NVIDIA A100-SXM4-80GB,chat,7.5,0.0015799999999999998,float16,None,gptq-4bit+exllama-v1,False
facebook/xglm-564M,71.3,256,3.59,882.8928,NVIDIA A100-SXM4-80GB,chat,0.564,0.000958,float16,None,gptq-4bit+exllama-v1,False
facebook/xglm-4.5B,36.6,256,7.0,1806.336,NVIDIA A100-SXM4-80GB,chat,4.5,0.00196,float16,None,gptq-4bit+exllama-v1,False
chargoddard/Yi-34B-Llama,19.4,256,13.2,4626.432,NVIDIA A100-SXM4-80GB,chat,34.0,0.00502,float16,None,gptq-4bit+exllama-v1,False
chargoddard/llama-2-26b-trenchcoat-stack,15.7,256,16.3,4866.048,NVIDIA A100-SXM4-80GB,chat,26.0,0.00528,float16,None,gptq-4bit+exllama-v1,False
bigscience/bloom-7b1,54.1,256,4.73,1382.4,NVIDIA A100-SXM4-80GB,chat,7.0,0.0015,float16,None,gptq-4bit+exllama-v1,False
bigscience/bloom-3b,54.9,256,4.66,1188.864,NVIDIA A100-SXM4-80GB,chat,3.0,0.00129,float16,None,gptq-4bit+exllama-v1,False
BEE-spoke-data/NanoLlama-GQA-L10-A32_KV8-v13-KI,108.0,256,2.38,537.2927999999999,NVIDIA A100-SXM4-80GB,chat,0.218,0.000583,float16,None,gptq-4bit+exllama-v1,False
BEE-spoke-data/smol_llama-220M-GQA,105.0,256,2.43,555.7248000000001,NVIDIA A100-SXM4-80GB,chat,0.22,0.000603,float16,None,gptq-4bit+exllama-v1,False
BEE-spoke-data/smol_llama-81M-tied,184.0,256,1.39,324.40319999999997,NVIDIA A100-SXM4-80GB,chat,0.081,0.000352,float16,None,gptq-4bit+exllama-v1,False
BEE-spoke-data/verysmol_llama-v11-KIx2,184.0,256,1.39,321.63840000000005,NVIDIA A100-SXM4-80GB,chat,0.058,0.000349,float16,None,gptq-4bit+exllama-v1,False
BEE-spoke-data/smol_llama-101M-GQA,170.0,256,1.51,340.992,NVIDIA A100-SXM4-80GB,chat,0.101,0.00037,float16,None,gptq-4bit+exllama-v1,False
seungduk/KoSOLAR-10.7B-v0.1,24.2,256,10.6,2893.824,NVIDIA A100-SXM4-80GB,chat,10.7,0.00314,float16,None,gptq-4bit+exllama-v1,False
TurkuNLP/gpt3-finnish-large,70.3,256,3.64,873.6768,NVIDIA A100-SXM4-80GB,chat,0.881,0.000948,float16,None,gptq-4bit+exllama-v1,False
TurkuNLP/gpt3-finnish-small,129.0,256,1.99,446.976,NVIDIA A100-SXM4-80GB,chat,0.186,0.000485,float16,None,gptq-4bit+exllama-v1,False
TurkuNLP/gpt3-finnish-13B,41.2,256,6.22,2009.088,NVIDIA A100-SXM4-80GB,chat,13.0,0.00218,float16,None,gptq-4bit+exllama-v1,False
rishiraj/CatPPT-base,32.1,256,7.98,2119.68,NVIDIA A100-SXM4-80GB,chat,7.24,0.0023,float16,None,gptq-4bit+exllama-v1,False
LLM360/Amber,39.8,256,6.44,1714.176,NVIDIA A100-SXM4-80GB,chat,6.74,0.0018599999999999999,float16,None,gptq-4bit+exllama-v1,False
Dans-DiscountModels/ShearedLlama-1.3b-FFT-Test1,52.4,256,4.89,1161.2160000000001,NVIDIA A100-SXM4-80GB,chat,1.3,0.00126,float16,None,gptq-4bit+exllama-v1,False
stabilityai/japanese-stablelm-base-gamma-7b,32.1,256,7.98,2092.0319999999997,NVIDIA A100-SXM4-80GB,chat,7.0,0.00227,float16,None,gptq-4bit+exllama-v1,False
stabilityai/stablelm-base-alpha-7b,79.3,256,3.23,1050.6240000000003,NVIDIA A100-SXM4-80GB,chat,7.0,0.0011400000000000002,float16,None,gptq-4bit+exllama-v1,False
stabilityai/stablelm-base-alpha-3b,81.3,256,3.15,858.9312,NVIDIA A100-SXM4-80GB,chat,3.0,0.000932,float16,None,gptq-4bit+exllama-v1,False
stabilityai/stablelm-3b-4e1t,40.5,256,6.32,1585.152,NVIDIA A100-SXM4-80GB,chat,3.0,0.00172,float16,None,gptq-4bit+exllama-v1,False
huggyllama/llama-65b,13.5,256,18.9,7151.616,NVIDIA A100-SXM4-80GB,chat,65.0,0.00776,float16,None,gptq-4bit+exllama-v1,False
huggyllama/llama-13b,31.3,256,8.18,2506.752,NVIDIA A100-SXM4-80GB,chat,13.0,0.0027199999999999998,float16,None,gptq-4bit+exllama-v1,False
NucleusAI/nucleus-22B-token-500B,31.4,256,8.16,2829.312,NVIDIA A100-SXM4-80GB,chat,22.0,0.00307,float16,None,gptq-4bit+exllama-v1,False
roneneldan/TinyStories-33M,301.0,256,0.851,195.3792,NVIDIA A100-SXM4-80GB,chat,0.033,0.000212,float16,None,gptq-4bit+exllama-v1,False
roneneldan/TinyStories-3M,166.0,256,1.54,336.38399999999996,NVIDIA A100-SXM4-80GB,chat,0.003,0.000365,float16,None,gptq-4bit+exllama-v1,False
roneneldan/TinyStories-28M,170.0,256,1.51,346.5216,NVIDIA A100-SXM4-80GB,chat,0.028,0.000376,float16,None,gptq-4bit+exllama-v1,False
roneneldan/TinyStories-8M,167.0,256,1.53,355.7376,NVIDIA A100-SXM4-80GB,chat,0.008,0.000386,float16,None,gptq-4bit+exllama-v1,False
budecosystem/boomer-1b,264.0,256,0.968,258.9696,NVIDIA A100-SXM4-80GB,chat,1.0,0.000281,float16,None,gptq-4bit+exllama-v1,False
openlm-research/open_llama_7b_v2,37.4,256,6.85,1797.12,NVIDIA A100-SXM4-80GB,chat,7.0,0.00195,float16,None,gptq-4bit+exllama-v1,False
openlm-research/open_llama_7b,39.9,256,6.42,1760.256,NVIDIA A100-SXM4-80GB,chat,7.0,0.00191,float16,None,gptq-4bit+exllama-v1,False
openlm-research/open_llama_13b,31.1,256,8.22,2442.2400000000002,NVIDIA A100-SXM4-80GB,chat,13.0,0.00265,float16,None,gptq-4bit+exllama-v1,False
abhinand/tamil-llama-7b-base-v0.1,39.6,256,6.47,1797.12,NVIDIA A100-SXM4-80GB,chat,7.0,0.00195,float16,None,gptq-4bit+exllama-v1,False
abhinand/tamil-llama-13b-base-v0.1,31.4,256,8.15,2442.2400000000002,NVIDIA A100-SXM4-80GB,chat,13.0,0.00265,float16,None,gptq-4bit+exllama-v1,False
golaxy/gowizardlm,39.1,256,6.55,1797.12,NVIDIA A100-SXM4-80GB,chat,7.0,0.00195,float16,None,gptq-4bit+exllama-v1,False
bigcode/tiny_starcoder_py,109.0,256,2.34,528.0767999999999,NVIDIA A100-SXM4-80GB,chat,0.164,0.0005729999999999999,float16,None,gptq-4bit+exllama-v1,False
bigcode/gpt_bigcode-santacoder,91.1,256,2.81,656.1792,NVIDIA A100-SXM4-80GB,chat,1.12,0.0007120000000000001,float16,None,gptq-4bit+exllama-v1,False
togethercomputer/RedPajama-INCITE-7B-Base,42.4,256,6.04,1668.096,NVIDIA A100-SXM4-80GB,chat,7.0,0.00181,float16,None,gptq-4bit+exllama-v1,False
togethercomputer/RedPajama-INCITE-Base-3B-v1,42.7,256,6.0,1492.992,NVIDIA A100-SXM4-80GB,chat,3.0,0.00162,float16,None,gptq-4bit+exllama-v1,False
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,42.0,256,6.1,1658.8799999999999,NVIDIA A100-SXM4-80GB,chat,7.0,0.0018,float16,None,gptq-4bit+exllama-v1,False
Devio/test-22B,30.5,256,8.39,2783.2319999999995,NVIDIA A100-SXM4-80GB,chat,22.0,0.0030199999999999997,float16,None,gptq-4bit+exllama-v1,False
internlm/internlm-20b,17.3,256,14.8,4396.032,NVIDIA A100-SXM4-80GB,chat,20.0,0.00477,float16,None,gptq-4bit+exllama-v1,False
Delcos/Starling-LM-11B-alpha,21.0,256,12.2,3299.328,NVIDIA A100-SXM4-80GB,chat,11.0,0.00358,float16,None,gptq-4bit+exllama-v1,False
Dampish/StellarX-4B-V0,27.7,256,9.25,2248.7039999999997,NVIDIA A100-SXM4-80GB,chat,4.0,0.00244,float16,None,gptq-4bit+exllama-v1,False
Dampish/StellarX-4B-V0.2,42.3,256,6.05,1492.992,NVIDIA A100-SXM4-80GB,chat,4.0,0.00162,float16,None,gptq-4bit+exllama-v1,False
upstage/SOLAR-10.7B-v1.0,24.4,256,10.5,2903.04,NVIDIA A100-SXM4-80GB,chat,10.7,0.00315,float16,None,gptq-4bit+exllama-v1,False
huggingface/llama-7b,38.0,256,6.73,1760.256,NVIDIA A100-SXM4-80GB,chat,7.0,0.00191,float16,None,gptq-4bit+exllama-v1,False
huggingface/llama-65b,13.5,256,18.9,7123.968000000001,NVIDIA A100-SXM4-80GB,chat,65.0,0.007730000000000001,float16,None,gptq-4bit+exllama-v1,False
huggingface/llama-30b,21.3,256,12.0,4267.008,NVIDIA A100-SXM4-80GB,chat,30.0,0.00463,float16,None,gptq-4bit+exllama-v1,False
huggingface/llama-13b,31.3,256,8.19,2433.024,NVIDIA A100-SXM4-80GB,chat,13.0,0.00264,float16,None,gptq-4bit+exllama-v1,False
bit-dny/MindLLM,59.3,256,4.32,1041.408,NVIDIA A100-SXM4-80GB,chat,1.3,0.00113,float16,None,gptq-4bit+exllama-v1,False
SaylorTwift/gpt2_test,122.0,256,2.1,470.9376,NVIDIA A100-SXM4-80GB,chat,0.137,0.000511,float16,None,gptq-4bit+exllama-v1,False
beomi/Yi-Ko-6B,36.3,256,7.05,1907.7120000000002,NVIDIA A100-SXM4-80GB,chat,6.0,0.0020700000000000002,float16,None,gptq-4bit+exllama-v1,False
fblgit/una-llama-7b,40.4,256,6.34,1732.608,NVIDIA A100-SXM4-80GB,chat,7.0,0.00188,float16,None,gptq-4bit+exllama-v1,False
codellama/CodeLlama-7b-hf,39.0,256,6.56,1751.04,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019,float16,None,gptq-4bit+exllama-v1,False
codellama/CodeLlama-13b-hf,32.3,256,7.92,2414.592,NVIDIA A100-SXM4-80GB,chat,13.0,0.00262,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/gpt-neox-20b,25.6,256,10.0,2995.2,NVIDIA A100-SXM4-80GB,chat,20.0,0.00325,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-6.7b,39.4,256,6.49,1741.824,NVIDIA A100-SXM4-80GB,chat,6.7,0.00189,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-1.4b-deduped,52.6,256,4.87,1142.784,NVIDIA A100-SXM4-80GB,chat,1.4,0.00124,float16,None,awq-4bit+gemv,False
EleutherAI/gpt-j-6b,31.1,256,8.22,2055.1679999999997,NVIDIA A100-SXM4-80GB,chat,6.0,0.0022299999999999998,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-12b,35.3,256,7.25,2082.816,NVIDIA A100-SXM4-80GB,chat,12.0,0.00226,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-1.3b,53.9,256,4.75,1142.784,NVIDIA A100-SXM4-80GB,chat,1.3,0.00124,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-12b-deduped,35.7,256,7.18,2128.896,NVIDIA A100-SXM4-80GB,chat,12.0,0.00231,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-1b-deduped,76.0,256,3.37,844.1856,NVIDIA A100-SXM4-80GB,chat,1.0,0.000916,float16,None,awq-4bit+gemv,False
EleutherAI/gpt-neo-125m,116.0,256,2.2,524.3904,NVIDIA A100-SXM4-80GB,chat,0.125,0.000569,float16,None,awq-4bit+gemv,False
EleutherAI/polyglot-ko-12.8b,31.4,256,8.16,2368.5119999999997,NVIDIA A100-SXM4-80GB,chat,12.8,0.00257,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-410m,52.8,256,4.85,1152.0,NVIDIA A100-SXM4-80GB,chat,0.41,0.00125,float16,None,awq-4bit+gemv,False
EleutherAI/gpt-neo-1.3B,60.5,256,4.23,1013.7600000000001,NVIDIA A100-SXM4-80GB,chat,1.3,0.0011,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-160m-deduped,102.0,256,2.5,599.04,NVIDIA A100-SXM4-80GB,chat,0.16,0.00065,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-410m-deduped,53.1,256,4.82,1161.2160000000001,NVIDIA A100-SXM4-80GB,chat,0.41,0.00126,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-160m,103.0,256,2.49,589.8240000000001,NVIDIA A100-SXM4-80GB,chat,0.16,0.00064,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-2.7b,40.3,256,6.36,1529.856,NVIDIA A100-SXM4-80GB,chat,2.7,0.00166,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-2.8b-deduped,39.8,256,6.44,1557.504,NVIDIA A100-SXM4-80GB,chat,2.8,0.0016899999999999999,float16,None,awq-4bit+gemv,False
EleutherAI/pythia-70m-deduped,184.0,256,1.39,301.3632,NVIDIA A100-SXM4-80GB,chat,0.07,0.000327,float16,None,awq-4bit+gemv,False
EleutherAI/gpt-neo-2.7B,44.8,256,5.72,1410.048,NVIDIA A100-SXM4-80GB,chat,2.7,0.00153,float16,None,awq-4bit+gemv,False
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,50.1,256,5.11,1170.4319999999998,NVIDIA A100-SXM4-80GB,chat,1.1,0.0012699999999999999,float16,None,awq-4bit+gemv,False
ahxt/llama2_xs_460M_experimental,48.9,256,5.24,1225.728,NVIDIA A100-SXM4-80GB,chat,0.46,0.00133,float16,None,awq-4bit+gemv,False
