forward.latency(s),forward.throughput(samples/s),forward.peak_memory(MB),forward.max_memory_used(MB),forward.max_memory_allocated(MB),forward.max_memory_reserved(MB),forward.energy_consumption(kWh/sample),forward.carbon_emissions(kgCO2eq/sample),generate.latency(s),generate.throughput(tokens/s),decode.latency(s),decode.throughput(tokens/s),generate.peak_memory(MB),generate.max_memory_used(MB),generate.max_memory_allocated(MB),generate.max_memory_reserved(MB),generate.energy_consumption(kWh/token),generate.carbon_emissions(kgCO2eq/token),launcher.name,launcher._target_,launcher.device_isolation,launcher.start_method,backend.name,backend.version,backend._target_,backend.seed,backend.inter_op_num_threads,backend.intra_op_num_threads,backend.delete_cache,backend.no_weights,backend.device_map,backend.torch_dtype,backend.eval_mode,backend.disable_grad,backend.amp_autocast,backend.amp_dtype,backend.torch_compile,backend.to_bettertransformer,backend.use_flash_attention_2,backend.quantization_scheme,backend.quantization_config.bits,backend.quantization_config.use_cuda_fp16,backend.quantization_config.use_exllama,backend.data_parallel,backend.deepspeed_inference,backend.peft_strategy,benchmark.name,benchmark._target_,benchmark.duration,benchmark.warmup_runs,benchmark.memory,benchmark.energy,benchmark.input_shapes.batch_size,benchmark.input_shapes.sequence_length,benchmark.input_shapes.num_choices,benchmark.input_shapes.feature_size,benchmark.input_shapes.nb_max_frames,benchmark.input_shapes.audio_sequence_length,benchmark.new_tokens,benchmark.can_diffuse,benchmark.can_generate,benchmark.generate_kwargs.num_return_sequences,benchmark.generate_kwargs.max_new_tokens,benchmark.generate_kwargs.min_new_tokens,benchmark.generate_kwargs.do_sample,benchmark.generate_kwargs.use_cache,benchmark.generate_kwargs.pad_token_id,benchmark.generate_kwargs.temperature,benchmark.generate_kwargs.num_beams,experiment_name,device,model,task,hub_kwargs.revision,hub_kwargs.cache_dir,hub_kwargs.force_download,hub_kwargs.local_files_only,hub_kwargs.trust_remote_code,environment.optimum_version,environment.optimum_commit,environment.transformers_version,environment.transformers_commit,environment.accelerate_version,environment.accelerate_commit,environment.diffusers_version,environment.diffusers_commit,environment.python_version,environment.system,environment.cpu,environment.cpu_count,environment.cpu_ram_mb,environment.gpus,backend.quantization_config.exllama_config.version,backend.quantization_config.llm_int8_threshold,backend.quantization_config.load_in_4bit,backend.quantization_config.version,backend.quantization_config.do_fuse,backend.continuous_isolation,backend.isolation_check_interval,backend.quantization_config.load_in_8bit
0.0143,69.9,4967,4967,4080,4108,8.17e-07,5.51e-08,1.61,159.0,1.6,159.0,4971,4971,4083,4112,2.62e-07,1.77e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,BEE-spoke-data/Mixtral-GQA-400m-v2,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.00388,258.0,1397,1397,497,538,1.96e-07,1.32e-08,1.04,246.0,1.04,245.0,1408,1408,500,549,1.36e-07,9.18e-09,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,BEE-spoke-data/smol_llama-220M-GQA,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.00224,446.0,1118,1118,232,260,1.06e-07,7.14e-09,0.625,410.0,0.623,409.0,1135,1135,232,276,7.33e-08,4.94e-09,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,BEE-spoke-data/smol_llama-81M-tied,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.00232,431.0,1148,1148,269,289,1.12e-07,7.52e-09,0.638,401.0,0.636,401.0,1152,1152,269,293,7.81e-08,5.26e-09,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,BEE-spoke-data/smol_llama-101M-GQA,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.00391,256.0,1399,1399,500,541,2.01e-07,1.36e-08,1.04,246.0,1.04,245.0,1408,1408,500,549,1.35e-07,9.13e-09,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,BEE-spoke-data/NanoLlama-GQA-L10-A32_KV8-v13-KI,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.0112,89.3,4182,4182,3168,3323,9.57e-07,6.45e-08,2.93,87.4,2.92,87.3,4201,4201,3168,3342,5.78e-07,3.89e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,bn22/tinyllama_frankenmerge,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,True,1.0,
0.00882,113.0,3924,3924,2840,3066,8.07e-07,5.44e-08,1.95,131.0,1.94,131.0,3972,3972,2991,3114,4.19e-07,2.82e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,Dans-DiscountModels/ShearedLlama-1.3b-FFT-Test1,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,True,1.0,
0.0315,31.7,16130,16130,15114,15271,3.66e-06,2.47e-07,5.21,49.1,5.18,49.2,16232,16232,15171,15374,1.45e-06,9.79e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,mistralai/Mistral-7B-v0.1,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.0305,32.8,15188,15188,14290,14329,3.53e-06,2.38e-07,5.0,51.2,4.97,51.3,15215,15215,14290,14357,1.41e-06,9.53e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,Deci/DeciLM-7B,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.00773,129.0,3589,3589,2659,2730,7.74e-07,5.21e-08,1.34,191.0,1.33,192.0,3715,3715,2834,2856,3.18e-07,2.14e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,team-lucid/mptk-1b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.0314,31.8,16130,16130,15114,15271,3.81e-06,2.57e-07,5.18,49.4,5.15,49.5,16232,16232,15171,15374,1.52e-06,1.02e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,rishiraj/CatPPT-base,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.00882,113.0,3715,3715,2831,2856,7.84e-07,5.28e-08,1.69,151.0,1.68,152.0,3903,3903,2999,3045,3.69e-07,2.48e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,AI-Sweden-Models/gpt-sw3-1.3b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,True,1.0,
0.0318,31.4,16188,16188,15173,15330,3.72e-06,2.51e-07,5.2,49.2,5.17,49.3,16289,16289,15225,15430,1.47e-06,9.9e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,scb10x/typhoon-7b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.0315,31.7,15656,15656,14644,14797,3.71e-06,2.5e-07,5.2,49.2,5.17,49.3,15758,15758,14701,14900,1.49e-06,1e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,stabilityai/japanese-stablelm-base-gamma-7b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.0148,67.6,8628,8628,7722,7769,1.6e-06,1.08e-07,2.59,98.8,2.58,98.8,8712,8712,7829,7853,7.62e-07,5.14e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,stabilityai/stablelm-base-alpha-3b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,True,1.0,
0.0287,34.8,15121,15121,14223,14262,3.5e-06,2.36e-07,4.94,51.8,4.91,51.9,15540,15540,14653,14682,1.42e-06,9.55e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,golaxy/gowizardlm,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.00246,407.0,1089,1089,212,230,8.46e-08,5.7e-09,0.608,421.0,0.606,421.0,1095,1095,216,236,6.6e-08,4.45e-09,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,EleutherAI/pythia-70m-deduped,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.017,58.8,6877,6877,5925,6018,1.64e-06,1.1e-07,2.9,88.3,2.88,88.5,6982,6982,6052,6123,7.21e-07,4.86e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,EleutherAI/pythia-2.7b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
