forward.latency(s),forward.throughput(samples/s),forward.peak_memory(MB),forward.max_memory_used(MB),forward.max_memory_allocated(MB),forward.max_memory_reserved(MB),forward.energy_consumption(kWh/sample),forward.carbon_emissions(kgCO2eq/sample),generate.latency(s),generate.throughput(tokens/s),decode.latency(s),decode.throughput(tokens/s),generate.peak_memory(MB),generate.max_memory_used(MB),generate.max_memory_allocated(MB),generate.max_memory_reserved(MB),generate.energy_consumption(kWh/token),generate.carbon_emissions(kgCO2eq/token),launcher.name,launcher._target_,launcher.start_method,backend.name,backend.version,backend._target_,backend.seed,backend.inter_op_num_threads,backend.intra_op_num_threads,backend.continuous_isolation,backend.isolation_check_interval,backend.delete_cache,backend.no_weights,backend.device_map,backend.torch_dtype,backend.eval_mode,backend.disable_grad,backend.amp_autocast,backend.amp_dtype,backend.torch_compile,backend.to_bettertransformer,backend.use_flash_attention_2,backend.quantization_scheme,backend.quantization_config.bits,backend.quantization_config.use_cuda_fp16,backend.quantization_config.use_exllama,backend.quantization_config.exllama_config.version,backend.data_parallel,backend.deepspeed_inference,backend.peft_strategy,benchmark.name,benchmark._target_,benchmark.duration,benchmark.warmup_runs,benchmark.memory,benchmark.energy,benchmark.input_shapes.batch_size,benchmark.input_shapes.sequence_length,benchmark.input_shapes.num_choices,benchmark.input_shapes.feature_size,benchmark.input_shapes.nb_max_frames,benchmark.input_shapes.audio_sequence_length,benchmark.new_tokens,benchmark.can_diffuse,benchmark.can_generate,benchmark.generate_kwargs.num_return_sequences,benchmark.generate_kwargs.max_new_tokens,benchmark.generate_kwargs.min_new_tokens,benchmark.generate_kwargs.do_sample,benchmark.generate_kwargs.use_cache,benchmark.generate_kwargs.pad_token_id,benchmark.generate_kwargs.temperature,benchmark.generate_kwargs.num_beams,experiment_name,device,model,task,hub_kwargs.revision,hub_kwargs.cache_dir,hub_kwargs.force_download,hub_kwargs.local_files_only,hub_kwargs.trust_remote_code,environment.optimum_version,environment.optimum_commit,environment.transformers_version,environment.transformers_commit,environment.accelerate_version,environment.accelerate_commit,environment.diffusers_version,environment.diffusers_commit,environment.python_version,environment.system,environment.cpu,environment.cpu_count,environment.cpu_ram_mb,environment.gpus,backend.quantization_config.version,backend.quantization_config.do_fuse,backend.quantization_config.fuse_max_seq_len,backend.quantization_config.llm_int8_threshold,backend.quantization_config.load_in_8bit,backend.quantization_config.load_in_4bit
0.0684,14.6,9554,9554,8066,8092,7.27e-06,4.9e-07,7.67,33.4,7.6,33.6,9942,9942,8454,8480,2.51e-06,1.69e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/polyglot-ko-12.8b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0195,51.3,2053,2053,576,591,1.35e-06,9.07e-08,4.7,54.5,4.68,54.5,2141,2141,601,679,1.17e-06,7.86e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-410m,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0187,53.5,2571,2571,1064,1109,1.56e-06,1.05e-07,4.21,60.8,4.19,60.9,2738,2738,1193,1277,1.13e-06,7.6e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/gpt-neo-1.3B,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.00978,102.0,1797,1797,311,335,6.35e-07,4.28e-08,2.4,107.0,2.39,107.0,1839,1839,320,377,5.81e-07,3.92e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-160m-deduped,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0195,51.3,2053,2053,576,591,1.34e-06,9e-08,4.61,55.5,4.59,55.6,2143,2143,601,681,1.18e-06,7.97e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-410m-deduped,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.00975,103.0,1797,1797,311,335,6.37e-07,4.29e-08,2.42,106.0,2.41,106.0,1839,1839,320,377,5.89e-07,3.97e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-160m,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0255,39.2,3808,3808,2237,2346,2.37e-06,1.6e-07,6.03,42.5,6.0,42.5,3955,3955,2372,2493,1.61e-06,1.09e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-2.7b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0256,39.1,3808,3808,2237,2346,2.39e-06,1.61e-07,6.07,42.2,6.04,42.2,3955,3955,2372,2493,1.62e-06,1.09e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-2.8b-deduped,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.005,200.0,1656,1656,183,195,3.23e-07,2.18e-08,1.29,198.0,1.29,198.0,1662,1662,186,201,3.14e-07,2.12e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-70m-deduped,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0257,38.9,3422,3422,1916,1960,2.39e-06,1.61e-07,5.63,45.5,5.6,45.5,3716,3716,2129,2254,1.55e-06,1.04e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/gpt-neo-2.7B,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0206,48.5,2384,2384,877,922,1.64e-06,1.1e-07,5.04,50.8,5.02,50.8,2394,2394,877,933,1.29e-06,8.67e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0225,44.4,1992,1992,499,530,1.57e-06,1.06e-07,5.54,46.2,5.52,46.2,2000,2000,499,538,1.42e-06,9.55e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,ahxt/llama2_xs_460M_experimental,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0206,48.5,3802,3802,2295,2340,2.18e-06,1.47e-07,4.9,52.2,4.88,52.3,3990,3990,2432,2529,1.36e-06,9.15e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,GeneZC/MiniMA-3B,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0215,46.5,3802,3802,2295,2340,2.34e-06,1.57e-07,5.08,50.4,5.06,50.4,3990,3990,2432,2529,1.37e-06,9.21e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,GeneZC/MiniMA-2-3B,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0129,77.5,1826,1826,347,364,8.82e-07,5.95e-08,2.98,85.9,2.97,85.9,1834,1834,347,373,7.61e-07,5.13e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,Locutusque/TinyMistral-248m,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0399,25.1,5878,5878,4265,4416,4.26e-06,2.87e-07,6.54,39.1,6.5,39.2,6108,6108,4616,4647,1.97e-06,1.33e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,DevaMalla/llama-base-7b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.00499,200.0,1595,1595,117,134,3.23e-07,2.18e-08,1.29,198.0,1.29,198.0,1597,1597,119,136,3.12e-07,2.1e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,pszemraj/pythia-31m-simplepile-lite-2048-scratch-2e,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
