T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,Flagged,MoE
🔶,cloudyu/Truthful_DPO_TomGrc_FusionNet_34Bx2_MoE,77.28,72.87,86.52,76.96,73.28,83.19,70.89,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,mit,60.81,4.0,True,097b951c2524e6113252fcd98ba5830c85dc450f,False,True
🤝,louisbrulenaudet/Maxine-34B-stock,77.28,74.06,86.74,76.62,70.18,83.9,72.18,base merges and moerges,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,34.39,1.0,False,5d87d746433f6eaddf34fd1dbdeed859b15348aa,False,False
🔶,jefferylovely/MoeLovely-13B,77.25,73.72,89.49,64.78,78.74,87.61,69.14,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,float16,False,cc-by-nc-nd-4.0,12.88,0.0,False,ac4f0ad8a665eb6b54c286810a9b4551b0bcdc25,False,True
🔶,saltlux/luxia-21.4b-alignment-v0.4,77.23,76.88,91.83,68.06,76.72,87.21,62.7,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,21.42,0.0,False,4c4342a9c3e8e793a0969b74222d887d53cb294e,False,False
🔶,ibivibiv/orthorus-125b-v2,77.22,73.63,89.04,75.99,70.19,85.48,68.99,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,float16,False,apache-2.0,125.35,4.0,True,95b3b4e432d98b804d64cfe42dd9fa6b67198e5b,False,True
🔶,ConvexAI/Luminex-34B-v0.2,77.19,74.49,86.76,76.55,70.21,83.27,71.87,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,other,34.39,11.0,True,3880710724abcaffbdf8fa4031e1d02066fbfe9d,False,False
🔶,senseable/Wilbur-30B,77.18,74.06,86.68,76.7,69.96,83.43,72.25,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,34.39,0.0,False,eab679f95e078efb71fbaa7b1aa0be05bb4e46ca,False,False
🤝,RubielLabarta/LogoS-7Bx2-MoE-13B-v0.2,77.15,74.4,89.09,64.9,74.53,88.4,71.57,base merges and moerges,MixtralForCausalLM,Original,bfloat16,True,apache-2.0,12.88,6.0,True,354f0eb0a1299473c861c0505c2ede04ced90972,False,True
🔶,RubielLabarta/LogoS-7Bx2-MoE-13B-v0.1,77.14,74.49,89.07,64.74,74.57,88.32,71.65,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,apache-2.0,12.88,0.0,False,1e4670ddb878fa696f2e6293a4db9d8657993fd8,False,True
🔶,yunconglong/DARE_TIES_13B,77.1,74.32,89.5,64.47,78.66,88.08,67.55,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,['other'],12.88,10.0,True,74c6e4fbd272c9d897e8c93ee7de8a234f61900f,False,True
🔶,yunconglong/13B_MATH_DPO,77.08,74.66,89.51,64.53,78.63,88.08,67.1,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,other,12.88,0.0,True,96c62ad90f2b82016a1cdbfe96cfa5c4bb278e21,False,True
🔶,TomGrc/FusionNet_34Bx2_MoE,77.07,72.95,86.22,77.05,71.31,83.98,70.89,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,mit,60.81,8.0,True,c5575550053c84a401baf56174cb2e5d5bd9e79a,False,True
🔶,ConvexAI/Luminex-34B-v0.1,77.06,73.63,86.59,76.55,69.68,83.43,72.48,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,other,34.39,7.0,True,d3efc551679d7ec00da14722d44151c948a48d25,False,False
🔶,yunconglong/MoE_13B_DPO,77.05,74.32,89.39,64.48,78.47,88.0,67.63,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,other,12.88,4.0,True,d8d6a47f877fee3e638a158c2bd637c0013ed4e4,False,True
🔶,JaeyeonKang/CCK_Asura_v3.0,77.03,72.95,88.86,75.41,69.1,85.08,70.81,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,68.98,0.0,True,06fd0e293aeb3b2722e3910daefcd185fad4558c,False,False
🔶,4season/alignment_model_test,76.97,78.24,89.68,68.08,80.88,86.5,58.45,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,21.42,0.0,True,791a326ee0f6d5246962039803fd79b28608e54c,False,False
🔶,cloudyu/4bit_quant_TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO,76.95,73.21,86.11,75.44,72.78,82.95,71.19,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,4bit,False,other,31.8,1.0,True,331bb6bdba4140bbf0031bd37076f2c8a76d7dbb,False,True
🤝,automerger/YamshadowExperiment28-7B,76.86,73.29,89.25,64.38,78.53,85.24,70.51,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,10.0,True,b8f628c51f138538afc4c3d0d7dbcbab523c3b7a,False,False
🤝,Kquant03/CognitiveFusion2-4x7B-BF16,76.86,73.38,89.18,64.32,78.12,84.93,71.27,base merges and moerges,MixtralForCausalLM,Original,bfloat16,True,apache-2.0,24.15,1.0,True,a6df0928520ffdeb7f041ee84a56f316c30ca913,False,True
🤝,alchemonaut/QuartetAnemoi-70B-t0.0001,76.86,73.38,88.9,75.42,69.53,85.32,68.61,base merges and moerges,LlamaForCausalLM,Original,float16,True,other,68.98,26.0,True,392d963e63267650f2aea7dc26c60ee6fd2b26d4,False,False
🟩,liminerity/M7-7b,76.82,72.87,89.15,64.5,77.93,84.77,71.72,continuously pretrained,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,10.0,True,23497a39fe5d290494fad49e5b8077f76440ad11,False,False
🤝,liminerity/Multiverse-Experiment-slerp-7b,76.82,72.87,89.15,64.5,77.93,84.77,71.72,base merges and moerges,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,False,2103c07a06ff4d6e7f4c031b98d4c1a455690436,False,False
🔶,Kukedlc/NeuralSynthesis-7B-v0.1,76.8,73.04,89.18,64.37,78.15,85.24,70.81,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,6cc3389eb2c1968e8b1355ee90135b9c769b4fa0,False,False
🤝,AurelPx/Percival_01-7b-slerp,76.79,73.21,89.16,64.42,77.97,85.08,70.89,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,1.0,True,6d415ca49b7717b8e851ae3271f569e83d4de589,False,False
🤝,LewisDeBenoisIV/Jason1903_SLERP,76.77,73.12,89.13,64.43,78.13,85.08,70.74,base merges and moerges,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,False,ea187cf89f44197d9007798316a087bc63286227,False,False
🤝,automerger/Ognoexperiment27Multi_verse_model-7B,76.77,72.95,89.29,64.39,78.04,84.85,71.11,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,7eb7e390625ec0ca13a11c8977b9710d2316451f,False,False
🤝,Infinimol/miiqu-f16,76.77,72.87,88.97,75.99,69.37,85.56,67.85,base merges and moerges,LlamaForCausalLM,Original,float16,True,other,90.37,9.0,True,395d6398cb2ab71621a43f5f5df8994de9c46175,False,False
🔶,JaeyeonKang/CCK_Asura_v1.1.0,76.75,73.21,88.55,75.43,69.55,85.32,68.46,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,68.98,0.0,False,baf3e2cc3a8d18098199b3cee4bdf79f00935be1,False,False
🤝,nlpguy/T3QM7,76.75,73.12,89.14,64.48,77.96,85.08,70.74,base merges and moerges,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,fa6bd0d1019345cddabd90127c6a8f524a0d7a67,False,False
🔶,bardsai/jaskier-7b-dpo-v7.1,76.74,73.38,89.28,64.37,78.28,85.24,69.9,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,False,305544e9edd98253540141e91653d308e9b135cc,False,False
🔶,yam-peleg/Experiment26-7B,76.74,73.38,89.15,64.32,78.24,84.93,70.43,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,75.0,True,bbaef291e93a7f6c9f8cb76a4dbd8c3c054d3f3c,False,False
🤝,Undi95/Miqu-MS-70B,76.74,73.29,88.63,75.48,69.32,85.71,68.01,base merges and moerges,LlamaForCausalLM,Original,bfloat16,True,cc-by-nc-4.0,68.98,3.0,True,2aa17f8d8aadc2c8bf2aed438a6714fe3dbd9794,False,False
🔶,MTSAIR/multi_verse_model,76.74,72.87,89.2,64.4,77.92,84.77,71.27,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,24.0,True,a4ca706d1bbc263b95e223a80ad68b0f125840b3,False,False
🟩,ammarali32/multi_verse_model,76.74,72.87,89.2,64.4,77.92,84.77,71.27,continuously pretrained,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,False,e2aa6fdad0b28a6019b0fc7c178a3579c3d671e8,False,False
🔶,MiniMoog/Mergerix-7b-v0.3,76.73,72.87,89.14,64.44,78.01,84.93,71.04,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,680449fa566aa5fe1845c40b28eae05659c417f0,False,False
🤝,louisbrulenaudet/Maxine-7B-0401-stock,76.73,73.12,89.13,64.42,78.07,85.0,70.66,base merges and moerges,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,1.0,False,a23c75b9b6d9c47bdd106af999f6a33c981e2bd6,False,False
🤝,automerger/Experiment27Pastiche-7B,76.73,73.04,89.08,64.2,79.31,85.4,69.37,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,f69af11ca954a3441cca023a9e1cb6bb8bf4eb66,False,False
🤝,cloudyu/Yi-34Bx2-MoE-60B,76.72,71.08,85.23,77.47,66.19,84.85,75.51,base merges and moerges,MixtralForCausalLM,Original,bfloat16,False,other,60.81,59.0,True,483359d70b3fef480cdaeb6d722a18626d34f0ce,True,True
🔶,MaziyarPanahi/MeliodasPercival_01_Experiment26T3q,76.72,73.04,89.17,64.48,78.28,84.93,70.43,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,437c3830ec71b5f027cbe3bf1ce2b398f69e8406,False,False
🔶,nlpguy/T3QM7XP,76.71,73.04,89.12,64.45,78.06,85.0,70.58,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,1da031f9fdf04ea93b04e0bba7672560ea9d6255,False,False
🔶,chihoonlee10/T3Q-Mistral-Orca-Math-DPO,76.7,72.95,89.23,64.42,78.41,84.93,70.28,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,4.0,True,f136ec75c9fb7c86c071291ddf418089c8f43da0,False,False
🔶,Kukedlc/NeuralSynthesis-7B-v0.3,76.7,72.7,89.18,64.37,78.13,84.93,70.89,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,090fab29146f8e55066bce2f5f5859ab2d6027f4,False,False
🤝,AurelPx/Meliodas-7b-dare,76.69,72.87,89.11,64.43,78.02,84.77,70.96,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,1.0,True,2bae3c13529794307f17d9bfca4e6881736909a4,False,False
🤝,Gille/StrangeMerges_32-7B-slerp,76.68,72.95,89.0,64.52,77.94,85.0,70.66,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,2.0,True,47f8a90a2c35e0affbba8bdaaf458e1aca3e3599,False,False
🔶,yam-peleg/Experiment26-7B,76.67,73.12,89.12,64.3,78.04,85.0,70.43,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,75.0,True,bbaef291e93a7f6c9f8cb76a4dbd8c3c054d3f3c,False,False
💬,MSL7/INEX12-7b,76.66,72.95,89.14,64.4,78.04,85.24,70.2,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,7c78dddda4c5b72bf5c6e0efb64f52772ff1ae84,False,False
🤝,cloudyu/Mixtral_34Bx2_MoE_60B,76.66,71.33,85.25,77.34,66.59,84.85,74.6,base merges and moerges,MixtralForCausalLM,Original,bfloat16,False,other,60.81,108.0,True,f49d7cf0a7b99b15bc98b0ef4a681e7f0f4aa92c,True,True
🔶,Muhammad2003/Myriad-7B-Slerp,76.66,73.21,89.13,64.32,78.0,85.0,70.28,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,cc-by-nc-4.0,7.24,1.0,True,2b753372ef93262fd7f609eeed6df1684034fc60,False,False
🤝,automerger/Experiment26Yamshadow-7B,76.66,72.78,89.05,64.56,78.12,84.93,70.51,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,a0dfb3964cc2ba8dc398f9a7d1386bead4299697,False,False
🔶,rwitz/experiment26-truthy-iter-0,76.65,73.29,89.11,64.35,77.86,84.93,70.36,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,mit,7.24,0.0,True,cd8bfad664fb7f9b017388d974dd3265f8c40396,False,False
🟩,NExtNewChattingAI/Mutliverse_model_official,76.64,72.87,89.13,64.42,77.93,85.08,70.43,continuously pretrained,MistralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,7.24,0.0,False,4b8f0409e2844641fe9bd6d45385f4e71e0ee940,False,False
🤝,Eurdem/megatron_2.1_MoE_2x7B,76.64,72.95,88.94,64.56,78.2,84.53,70.66,base merges and moerges,MixtralForCausalLM,Original,bfloat16,True,apache-2.0,12.88,1.0,True,3104c1f36336085fdf0ad44e62695b0215c5e5b9,False,True
🔶,CorticalStack/shadow-clown-7B-slerp,76.64,73.38,89.05,64.32,77.95,84.85,70.28,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,432ca89337ce47e2dd4703fffe1703f57d2b67d3,False,False
🔶,nbeerbower/bophades-mistral-truthy-DPO-7B,76.63,73.38,89.28,64.73,77.88,85.16,69.37,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,True,7be1205f2f9b5dfe0ee8f2ead52d8ccc4a52fa3a,False,False
🔶,MaziyarPanahi/YamshadowInex12_Multi_verse_modelExperiment28,76.63,73.12,89.17,64.46,78.14,85.32,69.6,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,86837b7d957a458e34867b0c11e3e4bc7760e6e7,False,False
🤝,nlpguy/T3QM7X,76.63,73.12,89.14,64.45,78.02,85.08,69.98,base merges and moerges,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,299f7b97eb2791b3ef492e1addfe5706bff92e29,False,False
🤝,cloudyu/Mixtral_34Bx2_MoE_60B,76.63,71.25,85.36,77.28,66.61,84.69,74.6,base merges and moerges,MixtralForCausalLM,Original,float16,False,other,60.81,108.0,True,f49d7cf0a7b99b15bc98b0ef4a681e7f0f4aa92c,True,True
🤝,jsfs11/MixtureofMerges-MoE-2x7b-v6,76.63,73.38,89.16,64.53,78.58,84.77,69.37,base merges and moerges,MixtralForCausalLM,Original,bfloat16,True,apache-2.0,12.88,1.0,True,3dff5c8580d594e1da355a2745106c82f4b6e3d7,False,True
🤝,automerger/PasticheAlloyingotneoy-7B,76.62,73.46,89.09,64.43,78.31,85.24,69.22,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,ce744a9da3e0549bedf3a143abf18fc1698c4128,False,False
🔶,yam-peleg/Experiment30-7B,76.62,73.38,89.13,64.28,77.98,84.93,70.05,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,ff261dadc107d0ce67b836a052d7131f9d9e4260,False,False
🔶,MaziyarPanahi/Calme-7B-Instruct-v0.9,76.62,73.29,89.14,64.37,77.79,85.16,69.98,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,6.0,True,40467de9bb9d68530ecad420960593e6471e48c3,False,False
🔶,yam-peleg/Experiment28-7B,76.62,73.04,89.04,64.44,78.49,85.4,69.29,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,1.0,True,5efde29924cf7158e4cbd642311a92a14e85597c,False,False
🔶,MaziyarPanahi/Experiment26Yamshadow_Ognoexperiment27Multi_verse_model,76.61,73.21,89.2,64.49,78.1,84.93,69.75,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,18f14d84dd609cd26a9b41cd09f0de6bab036a27,False,False
🔶,MaziyarPanahi/Calme-7B-Instruct-v0.2,76.61,73.12,89.19,64.36,78.0,84.93,70.05,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,10.0,True,a283f4e8169009d683b329ae1a96c9a77ce5936a,False,False
🤝,automerger/YamShadow-7B,76.6,72.53,88.9,64.64,78.35,85.0,70.2,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,4.0,True,53746d4d0be4a0b0c2ec5decaeff28f692e06216,False,False
🤝,Kukedlc/NeuralSynthesis-7B-v0.2,76.6,73.55,89.09,64.53,77.34,84.69,70.43,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,4f324d12abba790d8e5c9f8f7ee8d7b6a06f489d,False,False
🔶,rwitz/experiment26-truthy-iter-1,76.6,73.21,89.13,64.34,77.66,84.85,70.43,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,mit,7.24,0.0,True,cb04e33c4ff559b31767765100cd50c24ec2531c,False,False
🤝,mayacinka/yam-jom-7B,76.6,73.38,89.15,64.51,78.04,84.93,69.6,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,fdd98b8000db4e2a9112184fa384de812069b5cd,False,False
💬,Undi95/Miqu-70B-Alpaca-DPO,76.6,73.21,88.6,75.41,69.44,85.4,67.55,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,False,,70.0,6.0,False,f7ee9b9099cd518060e9e61ff7ae11a39428bd93,False,False
🔶,mayacinka/yam-jom-7B-dare,76.6,73.38,89.14,64.38,78.04,84.85,69.83,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,5d79006083e269006e4cfdf8ebe2e902a258e6f3,False,False
